age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
42,1.0,139012,11,11,1,1.0,1,3,1,0,0,40,20.0
64,7.0,86837,12,12,1,6.0,1,3,1,0,0,40,1.0
69,4.0,163689,10,10,1,8.0,1,1,1,0,0,16,1.0
25,1.0,221757,9,9,1,7.0,1,1,1,0,0,40,1.0
62,5.0,54878,9,9,5,10.0,2,1,0,0,0,25,1.0
61,6.0,148577,9,9,1,5.0,1,1,1,0,0,55,1.0
18,1.0,95917,9,9,2,6.0,3,1,1,0,0,25,7.0
34,1.0,143776,14,14,2,1.0,2,2,1,0,0,45,
47,1.0,72880,14,14,2,1.0,2,1,0,0,0,40,1.0
17,1.0,140117,7,7,2,5.0,3,1,0,0,0,14,1.0
41,5.0,254630,11,11,3,10.0,2,1,1,0,0,80,1.0
32,1.0,236861,9,9,1,7.0,1,1,1,0,0,42,1.0
40,1.0,116632,9,9,3,5.0,2,1,1,0,0,60,1.0
51,3.0,154891,9,9,3,13.0,4,1,1,0,0,52,1.0
49,3.0,226871,9,9,1,7.0,1,2,1,0,0,40,1.0
66,3.0,189834,4,4,5,6.0,2,1,0,0,0,20,1.0
43,1.0,27766,13,13,4,3.0,4,1,1,0,0,60,1.0
49,1.0,213897,13,13,1,5.0,1,3,1,0,0,50,17.0
25,3.0,366796,13,13,2,1.0,2,1,0,0,0,40,1.0
23,3.0,324960,9,9,2,11.0,2,1,1,0,0,40,19.0
22,1.0,318915,9,9,2,6.0,4,1,0,0,0,40,1.0
50,1.0,268913,14,14,1,5.0,1,1,1,0,0,40,25.0
28,1.0,213236,9,9,4,6.0,4,1,1,0,0,40,16.0
49,1.0,196571,13,13,1,5.0,1,1,1,0,0,45,1.0
28,1.0,159623,9,9,1,2.0,1,1,1,0,0,40,1.0
53,3.0,181755,14,14,3,1.0,2,1,0,0,0,35,1.0
47,1.0,177858,13,13,6,3.0,2,1,0,27828,0,60,1.0
49,3.0,194895,10,10,1,9.0,1,1,1,7298,0,40,1.0
60,6.0,336188,15,15,1,1.0,1,1,1,0,2415,80,1.0
43,1.0,307767,9,9,1,9.0,1,1,1,0,0,40,1.0
35,6.0,368825,10,10,1,5.0,1,1,1,0,0,60,1.0
25,1.0,231638,10,10,2,12.0,4,1,0,0,0,24,1.0
32,4.0,400132,13,13,1,13.0,1,1,1,0,0,40,1.0
51,1.0,94081,9,9,2,2.0,2,1,1,0,0,40,1.0
23,1.0,211049,10,10,2,12.0,2,1,0,4101,0,40,1.0
39,1.0,498785,9,9,3,4.0,2,1,1,0,0,40,1.0
41,1.0,343121,9,9,3,4.0,4,1,0,0,0,36,1.0
20,1.0,88126,10,10,2,4.0,3,1,1,0,0,9,11.0
57,3.0,189824,10,10,1,9.0,1,2,1,7298,0,40,1.0
30,1.0,352105,13,13,2,1.0,2,2,0,0,0,40,1.0
19,2.0,137578,9,9,2,6.0,3,1,1,0,0,53,1.0
26,1.0,156848,13,13,2,5.0,3,1,1,0,0,40,1.0
51,7.0,45334,10,10,1,13.0,1,3,1,0,0,70,3.0
34,1.0,179641,13,13,2,1.0,2,1,0,0,0,45,1.0
45,7.0,199925,11,11,2,4.0,4,1,1,0,0,48,1.0
35,1.0,261241,9,9,3,8.0,2,1,1,0,1741,60,1.0
54,1.0,152652,9,9,1,8.0,1,1,1,0,0,65,1.0
43,1.0,187702,10,10,2,6.0,2,1,1,2174,0,45,1.0
41,1.0,167375,13,13,2,4.0,2,1,1,0,0,52,1.0
63,1.0,137192,13,13,1,2.0,1,3,1,0,0,40,13.0
